MSA,MSA_Name,census_2020_count,july1_2023_pop_est,jan1_2024_pop_est,num_chg_20_23,num_chg_20_24,pct_chg_20_23,pct_chg_20_24
10180,Abilene,176579,180350,180737,3771,4158,2.1,2.4
11100,Amarillo,268691,274548,276287,5857,7596,2.2,2.8
12420,Austin-Round Rock-San Marcos,2283371,2494648,2531216,211277,247845,9.3,10.9
13140,Beaumont-Port Arthur,397565,396624,397208,-941,-357,-0.2,-0.1
15180,Brownsville-Harlingen,421017,426062,427291,5045,6274,1.2,1.5
17780,College Station-Bryan,268248,281664,284119,13416,15871,5,5.9
18580,Corpus Christi,445763,447500,449068,1737,3305,0.4,0.7
19100,Dallas-Fort Worth-Arlington,7637387,8108518,8183072,471131,545685,6.2,7.1
20580,Eagle Pass,57887,57775,57757,-112,-130,-0.2,-0.2
21340,El Paso,868859,873709,873697,4850,4838,0.6,0.6
26420,Houston-Pasadena-The Woodlands,7149642,7488332,7541586,338690,391944,4.7,5.5
28660,Killeen-Temple,475367,495341,497089,19974,21722,4.2,4.6
29700,Laredo,267114,272605,273411,5491,6297,2.1,2.4
30980,Longview,286184,290956,290616,4772,4432,1.7,1.5
31180,Lubbock,351268,362117,363240,10849,11972,3.1,3.4
32580,McAllen-Edinburg-Mission,870781,903213,910629,32432,39848,3.7,4.6
33260,Midland,175220,182744,185540,7524,10320,4.3,5.9
36220,Odessa,165171,170203,170677,5032,5506,3,3.3
41660,San Angelo,121516,121949,122603,433,1087,0.4,0.9
41700,San Antonio-New Braunfels,2558143,2698652,2725584,140509,167441,5.5,6.5
43300,Sherman-Denison,135543,147514,149729,11971,14186,8.8,10.5
45500,Texarkana,92893,91043,90849,-1850,-2044,-2,-2.2
46340,Tyler,233479,244908,246008,11429,12529,4.9,5.4
47020,Victoria,98331,98801,99139,470,808,0.5,0.8
47380,Waco,295782,299195,298862,3413,3080,1.2,1
48660,Wichita Falls,148128,149931,150548,1803,2420,1.2,1.6
99999,State of Texas,29145505,30516218,30749924,1370713,1604419,4.7,5.5
