migration_scenario,year,year_month,FIPS,area_name,age_in_yrs_num,age_in_yrs_char,total,total_male,total_female,nh_white_total,nh_white_male,nh_white_female,nh_black_total,nh_black_male,nh_black_female,hispanic_total,hispanic_male,hispanic_female,nh_asian_total,nh_asian_male,nh_asian_female,nh_other_total,nh_other_male,nh_other_female
Mid,2020,202004,000,State of Texas,-1,All Ages,29145505,14394682,14750823,11584597,5751313,5833284,3444712,1654486,1790226,11441717,5692142,5749575,1561518,757096,804422,1112961,539645,573316
Mid,2020,202004,000,State of Texas,0,< 1 yr,340562,173553,167009,99694,50985,48709,40977,20726,20251,163220,83044,80176,16360,8444,7916,20311,10354,9957
Mid,2020,202004,000,State of Texas,1,1 yr,347006,176404,170602,103308,52866,50442,42281,21327,20954,165136,83708,81428,16634,8506,8128,19647,9997,9650
Mid,2020,202004,000,State of Texas,2,2 yrs,361190,183499,177691,106386,54360,52026,44274,22536,21738,172041,87138,84903,17987,9048,8939,20502,10417,10085
Mid,2020,202004,000,State of Texas,3,3 yrs,377394,192237,185157,112133,57341,54792,45302,23102,22200,179877,91208,88669,19257,9842,9415,20825,10744,10081
Mid,2020,202004,000,State of Texas,4,4 yrs,393108,199902,193206,117552,60108,57444,46963,23618,23345,187563,95302,92261,19723,10075,9648,21307,10799,10508
Mid,2020,202004,000,State of Texas,5,5 yrs,402192,205244,196948,118825,61057,57768,48135,24410,23725,192830,98229,94601,20706,10615,10091,21696,10933,10763
Mid,2020,202004,000,State of Texas,6,6 yrs,399359,203689,195670,118939,61063,57876,47624,24348,23276,191636,97310,94326,20276,10365,9911,20884,10603,10281
Mid,2020,202004,000,State of Texas,7,7 yrs,399595,203262,196333,119030,60608,58422,47321,23998,23323,191043,97035,94008,21341,11186,10155,20860,10435,10425
Mid,2020,202004,000,State of Texas,8,8 yrs,400451,204119,196332,118342,60241,58101,47733,24357,23376,193200,98584,94616,20652,10506,10146,20524,10431,10093
Mid,2020,202004,000,State of Texas,9,9 yrs,405159,207112,198047,120184,61750,58434,48441,24751,23690,195763,99972,95791,20399,10281,10118,20372,10358,10014
