"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,574,0.408,0.01,A,94,A,95,A,93,B,84,A,93,A,93,,,,,,,,,Earned,,,,,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,169,0.343,0.012,A,96,A,94,A,90,A,90,B,88,A,100,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,8-Jun,No,No,159,0.396,0.006,B,84,B,86,B,82,C,74,B,82,C,79,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,KG - 05,No,No,246,0.459,0.012,A,91,A,92,A,90,B,82,A,90,B,87,,,Earned,Earned,Earned,,Not Earned,Not Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,1150,0.454,0.028,A,91,A,93,A,92,B,85,A,92,B,87,,,,,,,,,Not Earned,,,,,,,
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,307,0.345,0.013,B,89,A,92,B,86,C,73,B,86,B,81,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,8-Jun,No,No,268,0.437,0.019,B,83,B,86,B,84,C,77,B,84,C,76,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,320,0.578,0.041,A,91,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,5-Mar,No,No,255,0.447,0.039,A,91,A,90,B,88,B,88,B,85,A,94,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,808,0.542,0.041,A,92,A,92,A,92,B,87,A,92,A,91,,,,,,,,,Not Earned,,,,,,,
